Area,Utility Group,Utility,Indicator Category,Indicator Sub Category,Indicator Code,Indicator Name,Unit,Footnote (2019-2020),2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Finance,Revenue,F3,Total income for the utility,$ 000s,,Not applicable,Not applicable,23022.629,20250.037,19884.752,21204.034,18293.677,18913.441,19537.013,17332.411,13550.971,16925.791,15847.88,15292.683,15571.642,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Finance,Revenue,F4,Percentage of residential revenue from usage charges: water supply,%,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Finance,Revenue,F5,Revenue per property: water supply,$/property,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Finance,Revenue,F6,Revenue per property: wastewater,$/property,,848,930.27,838.47,716.13,716.74,779.48,695.94,726.13,773.89,686.39,704.09,716.92,687.53,673.41,708.42,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Finance,Revenue,F7,Total income per property,$/property,,Not applicable,Not applicable,Not applicable,Not applicable,710.13,780.56,695.94,726.13,,,,716.92,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Finance,Revenue from community service obligations (CSOs),F8,Community service obligations ratio,ratio,,Not applicable,Not applicable,0.7,0.0082,0.0085,0.0081,0.0096,0.0094,0.0094,0.0115,0.0143,0.0113,0.0125,0.0132,0.0136,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Finance,Costs,F9,Written-down replacement cost of fixed water supply assets,$ 000s,,Not applicable,Not applicable,0,0,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Finance,Costs,F10,Written-down replacement cost of fixed wastewater assets,$ 000s,,285517,286517.112,286285.686,280263.575,275254.475,276222.974,277485.121,276977.509,326218.024,265280.804,267242.714,264233.874,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Finance,Costs,F11,Operating cost per property: water supply,$/property,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Finance,Costs,F12,Operating cost per property: wastewater,$/property,,457,436.76,436.03,419.97,432.12,452.53,459.19,467.12,424.54,344.38,306.28,337.09,325.74,280.81,258.98,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Finance,Costs,F13,Combined operating cost per property: water supply and wastewater,$/property,,Not applicable,Not applicable,Not applicable,Not applicable,432.49,452.53,459.19,467.12,424.54,297.04,306.28,,325.74,280.81,258.98,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Finance,Costs,F13.1,Combined operating cost per ML: water supply and wastewater - bulk utility,$/ML,,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Finance,Capital Expenditure,F14,Capital expenditure: water supply,$ 000s,,Not applicable,Not applicable,0,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Finance,Capital Expenditure,F15,Capital expenditure: wastewater,$ 000s,,7888,5843.048,5430.762,2697.275,4330.201,4744.005,5197.505,4070.654,7131.605,6514.743,13921.929,38500.057,17565.41,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Finance,Capital Expenditure,F16,Total capital expenditure: water supply and wastewater,$ 000s,,Not applicable,Not applicable,5430,Not applicable,4330,4744,5198,4071,7132,13502,13922,,17565,5735,3172,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Finance,Capital Expenditure,F28,Capital expenditure per property: water supply,$/property,,Not applicable,Not applicable,0,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Finance,Capital Expenditure,F29,Capital expenditure per property: wastewater,$/property,,295,221.9264,192.5802,95.7329,156.2572,174.3005,198.21,156.0851,282.2566,257.9862,553.9974,1630.7368,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Finance,Economic real rate of return,F17,Economic real rate of return: water supply,ratio,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Finance,Economic real rate of return,F18,Economic real rate of return: wastewater,ratio,,1.8,No data,2.1,1.14,0.9,1.3,0.3,0.5,0.6,0.7,1.3,0.96,,3.6,10.7,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Finance,Economic real rate of return,F19,Economic real rate of return: water supply and wastewater,ratio,,Not applicable,Not applicable,2.1,Not applicable,,,,,,,,,,3.6,10.7,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Finance,Dividends,F20,Dividends,$ 000s,,Not applicable,Not applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Finance,Dividends,F21,Dividend payout ratio,ratio,,Not applicable,Not applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Finance,Net debt to equity,F22,Net debt to equity ratio,ratio,,Not applicable,Not applicable,2.1,3.3,4.8,5.3,6.1,5.6,,4.5,4.8,3.6,-9,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Finance,Interest cover,F23,Interest cover ratio,ratio,,Not applicable,Not applicable,3.1,1.54,1,2,0,0.62,1,1,>100,9.09,>100,>100,>100,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Finance,Dividends,F24,Net profit after tax (NPAT),$ 000s,,Not applicable,Not applicable,3402.76,1065.681,77.954,1138.908,-1478.866,-933.117,-176.989,-181.064,508.848,2175.032,2625.22,6570.357,8669.639,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Finance,Net profit after tax,F30,Net profit after tax ratio,ratio,,Not applicable,Not applicable,0.1478,0.0526,0.0039,0.0537,-0.0808,-0.0493,-0.0091,-0.0104,0.0376,0.1285,0.1657,0.4296,0.5568,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Finance,Community service obligations (CSOs),F25,Community service obligations ($),$ 000s,,Not applicable,Not applicable,158.957,165.889,169.791,172.135,176.187,178.706,182.773,198.815,194.021,191.033,198.276,202.288,212.39,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Finance,Capital works grants,F26,Capital works grants: water supply,$ 000s,,Not applicable,Not applicable,0,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Finance,Capital works grants,F27,Capital works grants: wastewater,$ 000s,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Finance,Costs,IF11,Operating cost: water supply,$ 000s,,Not applicable,Not applicable,0,0,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Finance,Costs,IF12,Operating cost: wastewater,$ 000s,,12239,11486.464,12296.112,11866.33,11975.061,12301.717,12059.974,12165.588,10697.986,8712.359,7687.629,7958.468,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Public Health,Water quality compliance,H1,Water quality guidelines,provided as text,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Public Health,Water quality compliance,H3,Percentage of population where microbiological compliance was achieved,%,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Public Health,Water quality compliance,H4,Number of zones where chemical compliance was achieved,zones,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Public Health,Water quality compliance,H4a,Total number of zones,zones,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Public Health,Water quality compliance,H5,Risk-based drinking water management plan externally assessed,yes/no,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Pricing,Residential tariff structure,P1,Tariff structure: water supply,provided as text,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Pricing,Residential tariff structure,P1.2,Fixed charge: water supply,$,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Pricing,Residential tariff structure,P1.3,Usage charge: step 1,$/kL,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Pricing,Residential tariff structure,P1.4,Usage charge: step 2,$/kL,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Pricing,Residential tariff structure,P1.5,Usage charge: step 3,$/kL,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Pricing,Residential tariff structure,P1.6,Usage charge: step 4,$/kL,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Pricing,Residential tariff structure,P1.7,Usage charge: step 5,$/kL,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Pricing,Residential tariff structure,P1.12,Special levies: water supply,$,,Not applicable,Not applicable,0,0,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Pricing,Residential tariff structure,P1.13,Income from special levies retained by the utility: water supply,yes/no,,Not applicable,Not applicable,No,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Pricing,Residential tariff structure,P1.3a,Upper bound of usage: step 1,kL,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Pricing,Residential tariff structure,P1.4a,Upper bound of usage: step 2,kL,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Pricing,Residential tariff structure,P1.5a,Upper bound of usage: step 3,kL,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Pricing,Residential tariff structure,P1.6a,Upper bound of usage: step 4,kL,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Pricing,Residential tariff structure,P1.7a,Upper bound of usage: step 5,kL,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Pricing,Annual bill,P2,Annual residential bill based on 200 kL per annum: water supply,$,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Pricing,Annual bill,P3,Typical residential bill: water supply,$,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Pricing,Residential tariff structure,P4,Tariff structure: wastewater Definition,provided as text,,Fixed,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Pricing,Residential tariff structure,P4.1,Fixed charge: wastewater,$,,548,528.98,512.97,497.67,484.81,469.85,477.91,490.88,502.05,480.47,463.7,444.5,428.74,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Pricing,Residential tariff structure,P4.2,Usage charge: wastewater,$/kL,,Not applicable,0,Not applicable,Not applicable,Not applicable,,0,0,0,0,0,0,0,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Pricing,Residential tariff structure,P4.3,Special levies: wastewater,$,,Not applicable,Not applicable,0,0,0,0,0,0,0,0,0,0,0,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Pricing,Residential tariff structure,P4.4,Income from special levies retained by the utility: wastewater,yes/no,,Not applicable,Not applicable,No,Not applicable,No,No,No,No,No,No,No,No,No,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Pricing,Annual bill,P5,Annual residential bill based on 200 kL per annum: wastewater,$,,548,528.98,512.97,497.67,484.81,469.85,477.91,490.88,502.05,480.47,463.7,444.5,428.74,425.87,423.41,394.57,391.05,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Pricing,Annual bill,P6,Typical residential bill: wastewater,$,,548,528.98,512.97,497.67,484.81,469.85,477.91,490.88,502.05,480.47,463.7,444.5,428.74,425.87,423.41,394.57,391.05,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Pricing,Annual bill,P7,Total annual residential bill based on 200 kL per annum,$,,Not applicable,Not applicable,Not applicable,Not applicable,485,470,478,491,502,480,464,,429,426,423,395,391,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Pricing,Annual bill,P8,Total typical residential bill,$,,Not applicable,Not applicable,Not applicable,Not applicable,485,470,478,491,502,480,,,429,426,423,395,391,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Sources,W1,Volume of water sourced from surface water,ML,,Not applicable,Not applicable,0,Not applicable,Not applicable,,,0,,0,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Sources,W2,Volume of water sourced from groundwater,ML,,Not applicable,Not applicable,0,Not applicable,Not applicable,,,,,0,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Sources,W3.1,Volume of water sourced from desalination of marine water,ML,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Transfers,W5,Total volume of water received from other service providers or operational areas within the urban water system,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",Not applicable,Not applicable,0,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Transfers,W5.3,"Volume of water, excluding recycled water, received from other service providers or operational areas within the urban water supply system",ML,,Not applicable,Not applicable,0,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Transfers,W6,Volume of recycled water received from other service providers or operational areas within the urban water supply system,ML,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Sources,W7,Total volume of water sourced,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",Not applicable,Not applicable,0,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Use,W8,Total volume of water supplied.to residential customers,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",Not applicable,Not applicable,0,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Use,W8.3,Volume of water supplied to residential customers,ML,,Not applicable,Not applicable,0,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Use,W9,Total volume of water supplied to non-residential customers,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",Not applicable,322,280,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Use,W9.3,Volume of water supplied to non-residential customers,ML,,Not applicable,Not applicable,0,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Use,W10.1,Volume of non-revenue water,ML,,Not applicable,Not applicable,0,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Production,W11,Total volume of urban water supplied,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",Not applicable,307,263,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Production,W11.3,Volume of potable water produced for supply into the urban water supply system,ML,,Not applicable,Not applicable,0,Not applicable,Not applicable,,,,0,0,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Use,W12,Average volume of residential water supplied per property,ML/property,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Use,W13,Volume of water returned as environmental flows from outside of the urban water supply system,ML,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Transfers,W14,Total volume of water exported to other service providers or operational areas within the urban water supply system,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",Not applicable,Not applicable,0,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Transfers,W14.3,"Volume of water, excluding recycled water, exported to other service providers or operational areas within the urban water supply system",ML,,Not applicable,Not applicable,0,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Transfers,W15,Volume of recycled water exported to other service providers or operational areas within the urban water supply system,ML,,0,Not applicable,0,0,0,,,0,0,0,0,0,0,0,0,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Wastewater collected,W16,"Volume of wastewater, excluding trade waste, collected",ML,,4788,4725,4720,5395,5088,4975,4904,4926,5440,5619,4347,4627,4827,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Wastewater collected,W17,Volume of trade waste collected,ML,,665,708,729,729,793,847,819,808,721,738,827,747,616,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Wastewater collected,W18,Total volume of wastewater collected,ML,,5453,5433,5449,6124,5881,5822,5723,5734,6161,6357,5174,5374,5443,5675,5061,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Transfers,W18.1,Volume of wastewater exported to other service providers or operational areas within the urban wastewater system,ML,,0,0,0,0,0,0,0,0,0,0,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Transfers,W18.2,Volume of wastewater received from other service providers or operational areas within the urban wastewater system,ML,,0,0,0,0,0,0,0,0,0,0,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Extraction for sewer mining,W18.3,Volume of wastewater taken through sewer mining,ML,,0,0,0,0,0,0,0,0,0,0,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Inflow to plant,W18.4,Volume of wastewater inflow to wastewater treatment plants,ML,,5453,5433,5449,6124,5881,5822,5723,5734,6161,6357,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Wastewater collected,W19,Average volume of wastewater collected per property,ML/property,,204,207,193,217.4,212.2,214,218,220,244,252,206,227.6,236,250,214,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Use,W21,Volume of recycled water supplied to non-residential customers,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",266,322,280,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Use,W23,Volume of recycled water supplied as environmental flows,ML,,4553,4664,4728,5424,5135,5116,5047,4988,5532,5843,0,0,0,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Use,W25.1,Volume of recycled water supplied to managed aquifer recharge,ML,,0,Not applicable,0,Not applicable,,,,0,0,0,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Use,W26,Total volume of recycled water supplied,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",4819,4986,5008,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Use,W27,Recycled water as a percentage of total wastewater collected,%,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",91.3,91.8,91.9,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Use,W28.4,Volume of urban stormwater supplied to residential customers,ML,,Not applicable,Not applicable,Not applicable,Not applicable,,,,0,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Use,W28.5,Volume of urban stormwater supplied to non-residential customers,ML,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Outflow from plant,W30,Volume of wastewater losses and spills,ML,,0,0,441,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Use,W29,Volume of treated wastewater disposals,ML,,458,448,441,201,202,202,200,191,190,0,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Use,W31,Volume of water returned to surface water or groundwater from the urban water supply system,ML,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Outflow from plant,W18.5,Volume of treated effluent outflow from wastewater treatment plants,ML,,5277,5433,5449,6133,5912,5822,5723,5734,6161,6357,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Wagga Wagga City Council,Water Resources,Use,W20,Volume of recycled water supplied to residential customers,ML,,0,Not applicable,0,0,0,0,0,0,0,0,0,0,13,15,,,,
Victoria,"Medium—20,000–50,000 connected properties",Wannon Water,Assets,Water Treatment Plants,A1,Number of water treatment plants providing full treatment,plants,,11,11,11,11,11,11,11,11,11,10,10,11,11,8,8,,,
Victoria,"Medium—20,000–50,000 connected properties",Wannon Water,Assets,Other Water Assets,A2,Length of water mains,km,,1980,1977,1973,1899,1960,1882,1882,1877,1877,1821,1767,1734,1755,1754,1750,,,
Victoria,"Medium—20,000–50,000 connected properties",Wannon Water,Assets,Other Water Assets,A3,Number of properties served per km of water main,properties/km,,22,21.9,21.8,22.5,21.7,22.5,22.3,22.1,22,22.3,23,22,23,23,22,,,
Victoria,"Medium—20,000–50,000 connected properties",Wannon Water,Assets,Wastewater assets,A4,Number of wastewater treatment plants,plants,,20,20,20,20,20,20,20,20,20,19,19,19,,,,,,
Victoria,"Medium—20,000–50,000 connected properties",Wannon Water,Assets,Wastewater assets,A5,Length of sewer mains and channels,Km,,950,945,941,937,930,919,910,884,882,886,884,869,859,835,826,,,
Victoria,"Medium—20,000–50,000 connected properties",Wannon Water,Assets,Wastewater assets,A6,Number of properties served per km of sewer main,properties/km,,39.3,39.2,39.1,38.9,38.9,39,38.9,39.6,39.3,38.7,38,39,39,38,39,,,
Victoria,"Medium—20,000–50,000 connected properties",Wannon Water,Assets,Water Main Breaks,A8,"Number of water main breaks, bursts, and leaks, per 100 km of water mains",mains breaks/100 km,,5.1,5.2,8.3,9.6,11.1,9.7,10.5,12.7,10.9,12,12,15,15,15,7,,,
Victoria,"Medium—20,000–50,000 connected properties",Wannon Water,Assets,Water Losses,A9,Infrastructure leakage index (ILI),ratio,,1.3,1.3,1.3,1.5,1.3,1.3,1.5,2,1.9,1.9,1.6,1.9,1.8,1.4,,,,
Victoria,"Medium—20,000–50,000 connected properties",Wannon Water,Assets,Water Losses,A10,Real losses: service connections,L/service connection/day,,70,70,70,84,72,71,82,110,125,132,110,121,140,113,,,,
Victoria,"Medium—20,000–50,000 connected properties",Wannon Water,Assets,Water Losses,A11,Real losses: water mains,kL/km water main/day,,2.3,2.4,2.2,3,2,2.2,2.52,3.4,2.8,3,2.5,2.7,3.2,3,,,,
Victoria,"Medium—20,000–50,000 connected properties",Wannon Water,Assets,Wastewater breaks and chokes,A14,Number of sewer mains breaks and chokes per 100 km,breaks and chokes/100km,,9.2,12.1,12.5,18,18.2,13.4,11.5,10.7,8.3,10.4,10.4,,,,,,,
Victoria,"Medium—20,000–50,000 connected properties",Wannon Water,Assets,Wastewater breaks and chokes,A15,"Number of property connection sewer breaks and chokes per 1,000 properties","breaks and chokes/1,000 properties",,2,3,3,3,3.5,4.6,0,,,,,,,,,,,
Victoria,"Medium—20,000–50,000 connected properties",Wannon Water,Assets,Water Main Breaks,IA8,"Number of water main breaks, bursts, and leaks",mains breaks,,101,103,163,183,218,183,198,238,204,223,215,260,,,,,,
Victoria,"Medium—20,000–50,000 connected properties",Wannon Water,Customers,Connected Properties and Population,C1,Population receiving services: water supply,population 000s,,88.444,88.665,84.782,84.475,84.172,83.177,82.941,81.93,80.65,80.379,79,79,79,,,,,
Victoria,"Medium—20,000–50,000 connected properties",Wannon Water,Customers,Connected Properties and Population,C2,Number of connected residential properties: water supply,population 000s,,37.176,36.886,36.649,36.353,36.061,35.852,35.597,35.163,34.87,34.331,34,33,34,,,,,
